,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
40,Cherskiy,68.75,161.3,72.23,33,77,17.6,RU,2022-08-01 01:52:04,broken clouds
41,Poum,-20.2333,164.0167,73.29,71,96,11.56,NC,2022-08-01 01:52:04,overcast clouds
42,Hobart,-42.8794,147.3294,54.27,61,40,14.97,AU,2022-08-01 01:51:29,scattered clouds
43,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
44,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
45,Storforshei,66.4043,14.5233,56.66,94,100,0.0,NO,2022-08-01 01:52:05,overcast clouds
46,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
47,Bredasdorp,-34.5322,20.0403,41.56,83,0,3.74,ZA,2022-08-01 01:52:07,clear sky
48,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
49,Tautira,-17.7333,-149.15,77.13,67,76,23.13,PF,2022-08-01 01:52:08,broken clouds
50,Kodiak,57.79,-152.4072,62.11,72,75,5.75,US,2022-08-01 01:52:08,broken clouds
51,Paka,4.6374,103.4368,80.53,83,20,0.0,MY,2022-08-01 01:52:08,few clouds
52,Esperance,-33.8667,121.9,55.24,51,97,21.41,AU,2022-08-01 01:52:09,overcast clouds
53,Constitucion,-35.3333,-72.4167,48.65,89,95,3.98,CL,2022-08-01 01:52:09,overcast clouds
54,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
55,Loiza,18.4313,-65.8802,84.18,87,40,13.8,PR,2022-08-01 01:52:10,haze
56,Dvinskoy,62.1535,45.1175,54.73,96,1,3.27,RU,2022-08-01 01:52:10,clear sky
57,New Norfolk,-42.7826,147.0587,53.92,76,54,4.0,AU,2022-08-01 01:51:51,broken clouds
58,Richards Bay,-28.783,32.0377,60.44,76,100,8.48,ZA,2022-08-01 01:52:11,light rain
59,Severnoye,56.3491,78.3619,56.89,90,100,12.35,RU,2022-08-01 01:52:12,overcast clouds
60,Esperance,-33.8667,121.9,55.24,51,97,21.41,AU,2022-08-01 01:52:09,overcast clouds
61,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
62,Busselton,-33.65,115.3333,59.29,88,100,13.13,AU,2022-08-01 01:51:37,overcast clouds
63,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
64,Kaihua,23.3687,104.28,70.75,86,100,4.52,CN,2022-08-01 01:52:13,overcast clouds
65,Lebu,-37.6167,-73.65,46.58,84,100,4.32,CL,2022-08-01 01:52:13,overcast clouds
66,Bluff,-46.6,168.3333,51.8,74,100,16.87,NZ,2022-08-01 01:52:14,overcast clouds
67,Barrow,71.2906,-156.7887,35.62,87,100,9.22,US,2022-08-01 01:52:14,overcast clouds
68,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
69,Bethel,41.3712,-73.414,77.36,69,100,5.12,US,2022-08-01 01:52:15,overcast clouds
70,Punta Arenas,-53.15,-70.9167,42.91,75,75,12.66,CL,2022-08-01 01:47:32,broken clouds
71,Punta Arenas,-53.15,-70.9167,42.91,75,75,12.66,CL,2022-08-01 01:47:32,broken clouds
72,Norman Wells,65.282,-126.8329,73.44,46,40,6.91,CA,2022-08-01 01:52:16,scattered clouds
73,Khatanga,71.9667,102.5,48.58,63,66,11.95,RU,2022-08-01 01:52:16,broken clouds
74,Monroe,43.1501,-77.6831,72.91,84,99,3.87,US,2022-08-01 01:47:57,overcast clouds
75,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
76,Barrow,71.2906,-156.7887,35.62,87,100,9.22,US,2022-08-01 01:52:14,overcast clouds
77,Hermanus,-34.4187,19.2345,38.8,74,0,7.54,ZA,2022-08-01 01:51:09,clear sky
78,El Tigre,8.8875,-64.2454,75.16,85,100,12.46,VE,2022-08-01 01:52:18,overcast clouds
79,Chibombo,-14.6569,28.0706,55.38,42,0,5.79,ZM,2022-08-01 01:52:18,clear sky
80,Londoko,49.0333,131.9833,73.94,89,100,3.76,RU,2022-08-01 01:52:19,overcast clouds
81,Sorland,67.667,12.6934,53.46,84,100,11.72,NO,2022-08-01 01:52:19,overcast clouds
82,Barrow,71.2906,-156.7887,35.62,87,100,9.22,US,2022-08-01 01:52:14,overcast clouds
83,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
84,Dikson,73.5069,80.5464,41.31,93,100,8.9,RU,2022-08-01 01:52:20,overcast clouds
85,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
86,Marburg,50.8167,8.7667,67.55,94,35,4.34,DE,2022-08-01 01:52:20,scattered clouds
87,Saint-Philippe,-21.3585,55.7679,66.22,79,46,11.79,RE,2022-08-01 01:52:21,scattered clouds
88,Busselton,-33.65,115.3333,59.29,88,100,13.13,AU,2022-08-01 01:51:37,overcast clouds
89,Victoria,22.2855,114.1577,92.25,72,90,1.99,HK,2022-08-01 01:48:15,overcast clouds
90,Prabumulih,-3.45,104.25,80.46,82,61,3.74,ID,2022-08-01 01:52:22,broken clouds
91,Berlevag,70.8578,29.0864,57.2,92,92,2.59,NO,2022-08-01 01:52:22,overcast clouds
92,Ishigaki,24.3448,124.1572,80.73,94,75,3.44,JP,2022-08-01 01:52:22,light intensity shower rain
93,Airai,-8.9266,125.4092,72.84,53,52,2.66,TL,2022-08-01 01:48:53,broken clouds
94,Dembi Dolo,8.5333,34.8,56.07,98,100,0.96,ET,2022-08-01 01:52:24,light rain
95,San Pedro,14.35,121.0167,85.35,78,75,3.44,PH,2022-08-01 01:52:25,broken clouds
96,Lata,40.1629,-8.3327,69.08,58,0,2.44,PT,2022-08-01 01:52:25,clear sky
97,Nishihara,26.1842,127.7558,78.46,94,75,21.85,JP,2022-08-01 01:52:25,broken clouds
98,Kudahuvadhoo,2.6708,72.8944,81.41,71,100,23.42,MV,2022-08-01 01:52:26,overcast clouds
99,Emerald,-23.5333,148.1667,67.33,67,86,9.6,AU,2022-08-01 01:52:26,overcast clouds
100,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
101,Chokurdakh,70.6333,147.9167,66.87,61,100,8.46,RU,2022-08-01 01:52:27,overcast clouds
102,Seymchan,62.8833,152.4333,72.73,46,50,14.14,RU,2022-08-01 01:52:27,scattered clouds
103,Boende,-0.2167,20.8667,71.35,82,84,1.79,CD,2022-08-01 01:52:28,broken clouds
104,Thompson,55.7435,-97.8558,57.36,94,75,2.3,CA,2022-08-01 01:51:52,broken clouds
105,Maceio,-9.6658,-35.7353,74.64,88,20,5.75,BR,2022-08-01 01:52:28,few clouds
106,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
107,Clyde River,70.4692,-68.5914,35.83,100,100,5.75,CA,2022-08-01 01:52:29,overcast clouds
108,Zhigansk,66.7697,123.3711,71.82,61,64,2.75,RU,2022-08-01 01:52:29,broken clouds
109,Vila Franca Do Campo,37.7167,-25.4333,70.21,85,4,4.36,PT,2022-08-01 01:52:30,clear sky
110,Busselton,-33.65,115.3333,59.29,88,100,13.13,AU,2022-08-01 01:51:37,overcast clouds
111,Arraial Do Cabo,-22.9661,-42.0278,68.11,71,0,11.03,BR,2022-08-01 01:52:30,clear sky
112,Najran,17.4924,44.1277,84.85,61,63,11.25,SA,2022-08-01 01:50:58,broken clouds
113,Avarua,-21.2078,-159.775,77.05,73,75,13.8,CK,2022-08-01 01:50:14,broken clouds
114,Thompson,55.7435,-97.8558,57.36,94,75,2.3,CA,2022-08-01 01:51:52,broken clouds
115,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
116,Bellavista,-7.0561,-76.5911,72.82,77,69,1.28,PE,2022-08-01 01:52:32,broken clouds
117,Hilo,19.7297,-155.09,83.28,61,20,14.97,US,2022-08-01 01:51:38,few clouds
118,Ban Tak,17.0432,99.0813,84.22,72,99,2.21,TH,2022-08-01 01:52:32,overcast clouds
119,Shitanjing,39.2342,106.3439,75.27,68,100,12.3,CN,2022-08-01 01:52:33,overcast clouds
120,Mar Del Plata,-38.0023,-57.5575,54.88,84,0,3.0,AR,2022-08-01 01:47:57,clear sky
121,Bredasdorp,-34.5322,20.0403,41.56,83,0,3.74,ZA,2022-08-01 01:52:07,clear sky
122,Watrous,51.6668,-105.4679,73.18,60,57,5.75,CA,2022-08-01 01:52:33,broken clouds
123,Nara,34.6851,135.8049,97.97,38,70,3.89,JP,2022-08-01 01:52:34,broken clouds
124,Puerto Escondido,15.85,-97.0667,81.19,82,77,3.78,MX,2022-08-01 01:49:33,broken clouds
125,Tosya,41.0155,34.0401,64.38,72,0,3.18,TR,2022-08-01 01:52:35,clear sky
126,Te Anau,-45.4167,167.7167,46.11,91,100,7.87,NZ,2022-08-01 01:52:35,overcast clouds
127,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
128,Kungurtug,50.5994,97.5228,68.67,54,29,1.48,RU,2022-08-01 01:52:36,scattered clouds
129,Husavik,66.0449,-17.3389,41.83,95,100,9.26,IS,2022-08-01 01:52:36,overcast clouds
130,Thompson,55.7435,-97.8558,57.36,94,75,2.3,CA,2022-08-01 01:51:52,broken clouds
131,Najran,17.4924,44.1277,84.85,61,63,11.25,SA,2022-08-01 01:50:58,broken clouds
132,Ixtapa,20.7,-105.2,79.23,87,100,1.01,MX,2022-08-01 01:50:45,overcast clouds
133,Cape Town,-33.9258,18.4232,55.38,76,0,7.0,ZA,2022-08-01 01:52:37,clear sky
134,Antalaha,-14.9003,50.2788,66.67,90,60,5.73,MG,2022-08-01 01:52:37,broken clouds
135,San Miguel,13.4833,-88.1833,80.17,76,88,2.62,SV,2022-08-01 01:52:38,overcast clouds
136,Port Alfred,-33.5906,26.891,51.93,72,0,9.42,ZA,2022-08-01 01:52:24,clear sky
137,Roald,62.5833,6.1333,55.17,81,75,5.75,NO,2022-08-01 01:52:38,broken clouds
138,Busselton,-33.65,115.3333,59.29,88,100,13.13,AU,2022-08-01 01:51:37,overcast clouds
139,Mataura,-46.1927,168.8643,51.48,69,81,9.13,NZ,2022-08-01 01:51:57,broken clouds
140,Carnarvon,-24.8667,113.6333,70.09,74,100,17.38,AU,2022-08-01 01:52:39,overcast clouds
141,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
142,Kaitangata,-46.2817,169.8464,49.08,64,100,8.1,NZ,2022-08-01 01:52:40,overcast clouds
143,Bengkulu,-3.8004,102.2655,81.0,73,82,2.21,ID,2022-08-01 01:48:11,broken clouds
144,Longyearbyen,78.2186,15.6401,49.84,81,40,6.91,SJ,2022-08-01 01:52:41,scattered clouds
145,Puerto Ayora,-0.7393,-90.3518,71.55,92,79,5.99,EC,2022-08-01 01:52:42,broken clouds
146,Suffolk,40.8668,-72.7996,77.41,86,0,5.75,US,2022-08-01 01:52:42,clear sky
147,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
148,Saint George,37.1041,-113.5841,87.64,51,0,8.05,US,2022-08-01 01:52:43,clear sky
149,Libertador General San Martin,-23.8064,-64.7876,60.44,53,3,3.56,AR,2022-08-01 01:52:43,clear sky
150,Saint-Philippe,-21.3585,55.7679,66.22,79,46,11.79,RE,2022-08-01 01:52:21,scattered clouds
151,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
152,New Norfolk,-42.7826,147.0587,53.92,76,54,4.0,AU,2022-08-01 01:51:51,broken clouds
153,Tuktoyaktuk,69.4541,-133.0374,64.4,55,40,4.61,CA,2022-08-01 01:51:38,scattered clouds
154,Verkhnyaya Inta,65.9811,60.3094,60.49,58,17,7.0,RU,2022-08-01 01:52:45,few clouds
155,Atuona,-9.8,-139.0333,77.23,71,12,12.08,PF,2022-08-01 01:50:26,few clouds
156,Georgetown,5.4112,100.3354,82.89,91,40,3.44,MY,2022-08-01 01:52:45,scattered clouds
157,Tabas,33.5959,56.9244,82.62,30,1,2.3,IR,2022-08-01 01:52:46,clear sky
158,Chuy,-33.6971,-53.4616,47.03,84,51,5.14,UY,2022-08-01 01:52:46,broken clouds
159,Ribeira Grande,38.5167,-28.7,73.78,76,19,7.07,PT,2022-08-01 01:51:35,few clouds
160,Lindsay,36.203,-119.0882,95.79,29,20,8.05,US,2022-08-01 01:52:47,light rain
161,Moses Lake,47.1301,-119.2781,102.88,12,0,6.91,US,2022-08-01 01:48:45,clear sky
162,Khasan,42.4308,130.6434,73.2,97,100,5.32,RU,2022-08-01 01:52:47,moderate rain
163,Mabaruma,8.2,-59.7833,74.7,93,26,2.93,GY,2022-08-01 01:52:48,scattered clouds
164,Kapaa,22.0752,-159.319,84.52,67,0,14.97,US,2022-08-01 01:52:20,clear sky
165,Tasiilaq,65.6145,-37.6368,37.62,51,26,4.07,GL,2022-08-01 01:52:48,scattered clouds
166,Kahului,20.8947,-156.47,87.82,59,20,25.32,US,2022-08-01 01:50:13,few clouds
167,Dikson,73.5069,80.5464,41.31,93,100,8.9,RU,2022-08-01 01:52:20,overcast clouds
168,Qaanaaq,77.484,-69.3632,43.9,65,100,2.77,GL,2022-08-01 01:52:49,overcast clouds
169,Hermanus,-34.4187,19.2345,38.8,74,0,7.54,ZA,2022-08-01 01:51:09,clear sky
170,Dikson,73.5069,80.5464,41.31,93,100,8.9,RU,2022-08-01 01:52:20,overcast clouds
171,Mataura,-46.1927,168.8643,51.48,69,81,9.13,NZ,2022-08-01 01:51:57,broken clouds
172,Bredasdorp,-34.5322,20.0403,41.56,83,0,3.74,ZA,2022-08-01 01:52:07,clear sky
173,Fallon,39.4735,-118.7774,95.92,18,75,18.41,US,2022-08-01 01:49:32,broken clouds
174,Butaritari,3.0707,172.7902,81.52,78,82,12.97,KI,2022-08-01 01:52:51,light rain
175,Hobart,-42.8794,147.3294,54.27,61,40,14.97,AU,2022-08-01 01:51:29,scattered clouds
176,Buchanan,5.8808,-10.0467,75.18,87,92,7.94,LR,2022-08-01 01:52:51,light rain
177,Zaysan,47.4667,84.8667,77.38,31,8,7.09,KZ,2022-08-01 01:52:52,clear sky
178,Faanui,-16.4833,-151.75,78.42,72,10,23.94,PF,2022-08-01 01:52:52,light rain
179,Almenara,-16.1836,-40.6944,69.31,89,94,2.24,BR,2022-08-01 01:52:53,light rain
180,Udachnyy,66.4167,112.4,55.45,87,100,17.18,RU,2022-08-01 01:48:22,overcast clouds
181,Isla Mujeres,21.2311,-86.731,84.25,84,9,11.21,MX,2022-08-01 01:52:53,clear sky
182,Mataura,-46.1927,168.8643,51.48,69,81,9.13,NZ,2022-08-01 01:51:57,broken clouds
183,Saskylakh,71.9167,114.0833,45.73,76,100,9.91,RU,2022-08-01 01:52:54,overcast clouds
184,Atuona,-9.8,-139.0333,77.23,71,12,12.08,PF,2022-08-01 01:50:26,few clouds
185,Mionica,44.8672,18.4631,52.48,61,8,5.17,BA,2022-08-01 01:52:55,clear sky
186,Narsaq,60.9167,-46.05,46.17,89,100,4.7,GL,2022-08-01 01:51:51,overcast clouds
187,Georgetown,5.4112,100.3354,82.89,91,40,3.44,MY,2022-08-01 01:52:45,scattered clouds
188,Arraial Do Cabo,-22.9661,-42.0278,68.11,71,0,11.03,BR,2022-08-01 01:52:30,clear sky
189,Atuona,-9.8,-139.0333,77.23,71,12,12.08,PF,2022-08-01 01:50:26,few clouds
190,Avarua,-21.2078,-159.775,77.05,73,75,13.8,CK,2022-08-01 01:50:14,broken clouds
191,Herat,34.5,62.0,76.98,25,0,20.8,AF,2022-08-01 01:52:57,clear sky
192,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
193,Ambon,-3.6954,128.1814,84.34,79,40,4.61,ID,2022-08-01 01:52:58,scattered clouds
194,Saint-Leu,-21.15,55.2833,68.32,73,31,2.59,RE,2022-08-01 01:52:58,scattered clouds
195,Auki,-8.7676,160.7034,85.77,65,11,5.21,SB,2022-08-01 01:52:58,few clouds
196,Nome,64.5011,-165.4064,58.15,77,100,10.36,US,2022-08-01 01:50:56,overcast clouds
197,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
198,Jablanica,43.6603,17.7617,75.33,68,0,6.02,BA,2022-08-01 01:52:59,clear sky
199,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
200,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
201,Vaini,-21.2,-175.2,80.76,94,75,6.91,TO,2022-08-01 01:51:55,broken clouds
202,Cabo San Lucas,22.8909,-109.9124,84.51,81,27,3.0,MX,2022-08-01 01:51:49,scattered clouds
203,Port Shepstone,-30.7414,30.455,55.81,67,8,7.2,ZA,2022-08-01 01:53:01,clear sky
204,Port Hawkesbury,45.6169,-61.3485,69.75,82,0,2.3,CA,2022-08-01 01:53:01,clear sky
205,Airai,-8.9266,125.4092,72.84,53,52,2.66,TL,2022-08-01 01:48:53,broken clouds
206,Busselton,-33.65,115.3333,59.29,88,100,13.13,AU,2022-08-01 01:51:37,overcast clouds
207,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
208,Kapaa,22.0752,-159.319,84.52,67,0,14.97,US,2022-08-01 01:52:20,clear sky
209,Mocuba,-16.8392,36.9856,62.56,98,6,1.66,MZ,2022-08-01 01:53:02,clear sky
210,Puerto Ayora,-0.7393,-90.3518,71.55,92,79,5.99,EC,2022-08-01 01:52:42,broken clouds
211,Mar Del Plata,-38.0023,-57.5575,54.88,84,0,3.0,AR,2022-08-01 01:47:57,clear sky
212,Chokurdakh,70.6333,147.9167,66.87,61,100,8.46,RU,2022-08-01 01:52:27,overcast clouds
213,East London,-33.0153,27.9116,53.49,62,0,6.76,ZA,2022-08-01 01:51:54,clear sky
214,Alyangula,-13.8483,136.4192,79.05,64,37,3.74,AU,2022-08-01 01:53:04,scattered clouds
215,Bethel,41.3712,-73.414,77.36,69,100,5.12,US,2022-08-01 01:52:15,overcast clouds
216,Geraldton,-28.7667,114.6,66.61,63,100,27.63,AU,2022-08-01 01:52:47,overcast clouds
217,Bredasdorp,-34.5322,20.0403,41.56,83,0,3.74,ZA,2022-08-01 01:52:07,clear sky
218,Cape Town,-33.9258,18.4232,55.38,76,0,7.0,ZA,2022-08-01 01:52:37,clear sky
219,Shizunai,42.3339,142.3669,68.97,89,100,13.2,JP,2022-08-01 01:51:46,light rain
220,Cape Town,-33.9258,18.4232,55.38,76,0,7.0,ZA,2022-08-01 01:52:37,clear sky
221,Bluff,-46.6,168.3333,51.8,74,100,16.87,NZ,2022-08-01 01:52:14,overcast clouds
222,Luderitz,-26.6481,15.1594,56.61,55,0,5.57,NA,2022-08-01 01:53:06,clear sky
223,Mar Del Plata,-38.0023,-57.5575,54.88,84,0,3.0,AR,2022-08-01 01:47:57,clear sky
224,Saskylakh,71.9167,114.0833,45.73,76,100,9.91,RU,2022-08-01 01:52:54,overcast clouds
225,Arman,59.7,150.1667,59.02,88,100,7.43,RU,2022-08-01 01:53:07,overcast clouds
226,Tasiilaq,65.6145,-37.6368,37.62,51,26,4.07,GL,2022-08-01 01:52:48,scattered clouds
227,Sarab,38.6066,44.9883,72.63,54,64,1.3,IR,2022-08-01 01:53:07,broken clouds
228,Avarua,-21.2078,-159.775,77.05,73,75,13.8,CK,2022-08-01 01:50:14,broken clouds
229,Torbay,47.6666,-52.7314,67.87,81,20,16.11,CA,2022-08-01 01:53:08,few clouds
230,Caxito,-8.5785,13.6643,65.8,95,59,2.55,AO,2022-08-01 01:53:08,broken clouds
231,Hilo,19.7297,-155.09,83.28,61,20,14.97,US,2022-08-01 01:51:38,few clouds
232,Avarua,-21.2078,-159.775,77.05,73,75,13.8,CK,2022-08-01 01:50:14,broken clouds
233,Mogwase,-25.185,27.2665,57.2,37,91,6.13,ZA,2022-08-01 01:53:09,overcast clouds
234,Touros,-5.1989,-35.4608,76.53,84,96,13.96,BR,2022-08-01 01:53:10,overcast clouds
235,Grindavik,63.8424,-22.4338,51.75,87,20,12.66,IS,2022-08-01 01:49:18,few clouds
236,Waddan,29.1614,16.139,78.39,45,0,2.71,LY,2022-08-01 01:53:10,clear sky
237,Xining,36.6167,101.7667,68.02,61,7,1.07,CN,2022-08-01 01:53:12,clear sky
238,Qaanaaq,77.484,-69.3632,43.9,65,100,2.77,GL,2022-08-01 01:52:49,overcast clouds
239,Sussex,41.1834,-74.6663,76.32,72,100,4.41,US,2022-08-01 01:53:12,overcast clouds
240,Albany,42.6001,-73.9662,73.63,72,100,2.28,US,2022-08-01 01:51:50,overcast clouds
241,Te Anau,-45.4167,167.7167,46.11,91,100,7.87,NZ,2022-08-01 01:52:35,overcast clouds
242,Punta Arenas,-53.15,-70.9167,42.91,75,75,12.66,CL,2022-08-01 01:47:32,broken clouds
243,Klaksvik,62.2266,-6.589,50.49,84,83,13.29,FO,2022-08-01 01:53:13,broken clouds
244,Sisimiut,66.9395,-53.6735,44.33,83,18,2.08,GL,2022-08-01 01:53:14,few clouds
245,Stromness,58.965,-3.296,51.87,86,30,10.0,GB,2022-08-01 01:48:44,scattered clouds
246,Rocha,-34.4833,-54.3333,46.87,81,68,4.45,UY,2022-08-01 01:48:26,broken clouds
247,Cabo San Lucas,22.8909,-109.9124,84.51,81,27,3.0,MX,2022-08-01 01:51:49,scattered clouds
248,Svarstad,59.399,9.9698,60.82,58,61,1.99,NO,2022-08-01 01:53:15,broken clouds
249,Esperance,-33.8667,121.9,55.24,51,97,21.41,AU,2022-08-01 01:52:09,overcast clouds
250,Bluff,-46.6,168.3333,51.8,74,100,16.87,NZ,2022-08-01 01:52:14,overcast clouds
251,Souillac,-20.5167,57.5167,68.38,88,75,11.5,MU,2022-08-01 01:53:16,broken clouds
252,Dongsheng,39.8161,109.9776,77.4,47,23,16.06,CN,2022-08-01 01:53:16,few clouds
253,Siavonga,-16.5382,28.7088,61.84,41,0,4.05,ZM,2022-08-01 01:53:17,clear sky
254,Tapia,7.7542,126.0119,82.51,74,100,1.05,PH,2022-08-01 01:53:17,overcast clouds
255,Mnogovershinnyy,53.9353,139.9242,73.85,58,17,6.82,RU,2022-08-01 01:53:18,few clouds
256,Rikitea,-23.1203,-134.9692,72.1,74,100,24.45,PF,2022-08-01 01:47:47,light rain
257,Ushuaia,-54.8,-68.3,37.06,93,40,5.75,AR,2022-08-01 01:51:58,scattered clouds
258,Potsdam,52.3989,13.0657,69.93,65,99,6.22,DE,2022-08-01 01:53:19,overcast clouds
259,Mataura,-46.1927,168.8643,51.48,69,81,9.13,NZ,2022-08-01 01:51:57,broken clouds
260,Hermanus,-34.4187,19.2345,38.8,74,0,7.54,ZA,2022-08-01 01:51:09,clear sky
261,Sao Joao Da Barra,-21.6403,-41.0511,67.03,73,0,5.77,BR,2022-08-01 01:53:20,clear sky
262,Victoria,22.2855,114.1577,92.25,72,90,1.99,HK,2022-08-01 01:48:15,overcast clouds
